date,gross_daily_return,exposure,cash,fully_invested_equivalent_return,cash_drag_return
2015-06-24,-0.0104452051232384,0.6,0.4,-0.017408675205397333,0.0069634700821589336
2015-07-01,0.0057667588552551,0.6,0.4,0.0096112647587585,-0.0038445059035034004
2015-07-09,0.0416911576053667,0.6,0.4,0.06948526267561117,-0.02779410507024447
2015-07-16,-0.0135119725148994,0.6,0.4,-0.022519954191499,0.0090079816765996
2015-07-23,0.0135291741596344,0.6,0.4,0.022548623599390666,-0.009019449439756267
2015-07-30,0.0256863640825645,0.6,0.4,0.04281060680427417,-0.01712424272170967
2015-08-06,0.0124483779827469,0.6,0.4,0.0207472966379115,-0.0082989186551646
2015-08-13,-0.0549523027373934,0.6,0.4,-0.091587171228989,0.036634868491595605
2015-08-20,0.0291511176931846,0.6,0.4,0.04858519615530767,-0.019434078462123066
2015-08-27,-0.0208544519857594,0.25,0.75,-0.0834178079430376,0.0625633559572782
2015-09-03,0.0077053029452767,0.25,0.75,0.0308212117811068,-0.023115908835830097
2015-09-11,0.0082509827240855,0.25,0.75,0.033003930896342,-0.0247529481722565
2015-09-18,-0.033871697308346,0.4,0.6,-0.084679243270865,0.050807545962519
2015-09-25,0.0100786717360659,0.25,0.75,0.0403146869442636,-0.0302360152081977
2015-10-02,0.0064463693266051,0.25,0.75,0.0257854773064204,-0.0193391079798153
2015-10-09,0.0056564104148122,0.25,0.75,0.0226256416592488,-0.0169692312444366
2015-10-16,0.0078345629085294,0.4,0.6,0.019586407271323502,-0.011751844362794101
2015-10-23,0.0069433092645913,0.6,0.4,0.011572182107652167,-0.004628872843060867
2015-10-30,0.0191676789352294,0.6,0.4,0.031946131558715674,-0.012778452623486272
2015-11-06,-0.0123155681432815,0.6,0.4,-0.020525946905469168,0.008210378762187668
2015-11-13,0.0147914053241005,0.4,0.6,0.036978513310251246,-0.022187107986150745
2015-11-20,0.014337290411852,0.6,0.4,0.023895484019753332,-0.009558193607901333
2015-11-30,0.0001128709259979,0.6,0.4,0.0001881182099965,-7.524728399860001e-05
2015-12-07,-0.0116506809694545,0.6,0.4,-0.0194178016157575,0.007767120646303
2015-12-14,-0.0012738483004385,0.4,0.6,-0.00318462075109625,0.0019107724506577499
